,AAPL,AMZN,GOOGL,MSFT,NVDA
2022-06-17,0.011533442039283737,0.024696097512579007,0.010468439791997996,0.01094017241482538,0.017883484855859968
2022-06-21,0.03276040087328257,0.023159471438540927,0.04107098907871373,0.024591203723810667,0.0431990158221791
2022-06-22,-0.003827178512078959,0.00248432685230263,-0.0005064670756057278,-0.002404033361238161,-0.012434781315088227
2022-06-23,0.02157390206558661,0.03203309399652416,0.006767493922109858,0.022636508247826304,-0.00825180975797961
2022-06-24,0.02451713257818935,0.035752370649060346,0.051077133066692926,0.03414991964108382,0.05553113649725047
2022-06-27,0.0,-0.02782069284939152,-0.018152099346505125,-0.01049710646484422,-0.01500613752062015
2022-06-28,-0.029789697612374197,-0.05140434227234391,-0.033030186994697994,-0.03174894812579743,-0.052581713110371686
2022-06-29,0.013023989885405604,0.014152668728781634,-0.002732010947548343,0.014738164322975146,-0.02753100991284424
2022-06-30,-0.018027694755123384,-0.02488063835870791,-0.024516210161020756,-0.013179290045455774,-0.02464305515324977
2022-07-01,0.01616438159662204,0.03154127203651248,-0.0020694779534660437,0.010707490957554498,-0.04195514646062034
2022-07-05,0.01893019302262972,0.03596205302303972,0.041618717436409366,0.012597516548787527,0.03036567726089068
2022-07-06,0.00960756624704897,0.007312791463036894,0.01155711486284526,0.01278266942015423,0.011093224887409988
2022-07-07,0.023999342197333177,0.017493221096553446,0.036753991501188764,0.008226465662435404,0.04811631651082287
2022-07-08,0.00471451639886587,-0.0067910332940134994,0.00480296603309264,-0.002756720637658228,-0.0012611428965194215
2022-07-11,-0.014757731658109428,-0.03280250030721618,-0.030807638602663823,-0.011768659833078952,-0.04331350643167577
2022-07-12,0.006833621205746331,-0.022639810105564876,-0.014315853845384497,-0.0409816409613096,-0.004619951553676519
2022-07-13,-0.0025364511474642907,0.010803884746268498,-0.02339056455616764,-0.003745095282985378,0.005436874019109241
2022-07-14,0.020482287847117392,0.0020832946047120216,-0.00885457356312652,0.005381498816938928,0.013716606118879269
2022-07-15,0.011450152799400334,0.02639434033114042,0.012775390177540948,0.010390566110814828,0.025371010269427053
2022-07-18,-0.02064310781997558,0.0018493974357441055,-0.024580061031731076,-0.009621475831924084,0.021507344931464296
2022-07-19,0.026721645617754895,0.039117412664191095,0.043841261881039116,0.020766926352233667,0.055338151953233036
2022-07-20,0.01350978312768163,0.038575396277054225,0.0007908064224836675,0.010557509648407305,0.04796382349280575
2022-07-21,0.01509430239437492,0.015150286399039406,0.0038629071494815466,0.009799290815240166,0.013646282587705182
2022-07-22,-0.00811058262255898,-0.01773248120979195,-0.05632315995220911,-0.016915932573034406,-0.04049841467107428
2022-07-25,-0.0073982937892656505,-0.01045579805948385,-0.0036143827595553576,-0.00587656143864543,-0.017033255529719068
2022-07-26,-0.00882636029973722,-0.0522536062650467,-0.023160780879276248,-0.02677437999780404,-0.02884175140700229
2022-07-27,0.03423458239448232,0.053653895941994004,0.0765568901574704,0.06685186787472348,0.0760298174363203
2022-07-28,0.00357166328243182,0.010829110898360094,0.010260026773215218,0.028540523740969367,0.010904625947543751
2022-07-29,0.03279343992713141,0.10361464095050726,0.01838571388740088,0.015665038976024656,0.00995342082049382
2022-08-01,-0.0061535322924678205,0.003260485004493965,-0.012551682826081509,-0.009723823547454142,0.015305953943403344
2022-08-02,-0.009287593614870944,-0.009084834427092145,0.0023507317171505837,-0.011474726874066974,0.0046093051130415685
2022-08-03,0.038247864723628316,0.039952299225118316,0.025623151678658796,0.027836569731388774,0.019810034856916698
2022-08-04,-0.0019264064214421842,0.021860686341448422,0.000931654379352126,0.004177337525187134,0.017043392548210152
2022-08-05,-0.0013888523826867981,-0.012414983387324706,-0.006091934257954778,-0.002608620713620505,-0.011761667040995075
2022-08-08,-0.0029032086735286196,-0.009872154542052647,-0.0014471395272616426,-0.009154999612014873,-0.06298380416176964
2022-08-09,0.0003035730834757157,-0.011333489631663503,-0.005711956337831985,0.00706322425672316,-0.0397348070949023
2022-08-10,0.026194270600018606,0.03526083251677465,0.026322655843545966,0.024300469470978674,0.05917138922643644
