,AAPL,AMZN,GOOGL,MSFT,NVDA
2022-03-10,155.17245483398438,146.8175048828125,131.34393310546875,275.67572021484375,22.616823196411133
2022-03-11,151.46250915527344,145.52450561523438,128.805908203125,270.3473205566406,22.05983543395996
2022-03-14,147.4392547607422,141.85299682617188,124.91854095458984,266.84332275390625,21.291234970092773
2022-03-15,151.81488037109375,147.3665008544922,128.13893127441406,277.18157958984375,22.93125343322754
2022-03-16,156.2198944091797,153.10400390625,132.18797302246094,284.17022705078125,24.45148468017578
2022-03-17,157.22813415527344,157.23899841308594,132.74188232421875,284.971435546875,24.72099494934082
2022-03-18,160.51715087890625,161.25050354003906,135.00965881347656,290.0006103515625,26.404924392700195
2022-03-21,161.8876495361328,161.4915008544922,134.98587036132812,288.7746276855469,26.6854190826416
2022-03-22,165.25498962402344,164.88900756835938,138.7214813232422,293.50457763671875,26.475793838500977
2022-03-23,166.61561584472656,163.4080047607422,137.1420135498047,289.0932312011719,25.58741569519043
2022-03-24,170.3940887451172,163.64950561523438,140.41152954101562,293.5431213378906,28.098844528198242
2022-03-25,171.03038024902344,164.77349853515625,140.51168823242188,293.1376953125,27.641674041748047
2022-03-28,171.89181518554688,168.99049377441406,140.2959747314453,299.91400146484375,28.16771697998047
2022-03-29,175.18084716796875,169.31500244140625,141.33734130859375,304.4605712890625,28.603925704956055
2022-03-30,174.01596069335938,166.30099487304688,140.77500915527344,302.96429443359375,27.639678955078125
2022-03-31,170.92269897460938,162.99749755859375,137.9275360107422,297.6070556640625,27.236413955688477
2022-04-01,170.62905883789062,163.55999755859375,139.0016632080078,298.678466796875,26.663455963134766
2022-04-04,174.67184448242188,168.34649658203125,141.79949951171875,304.0357360839844,27.31028175354004
2022-04-05,171.36317443847656,164.05499267578125,139.4385528564453,300.0877685546875,25.883872985839844
2022-04-06,168.201416015625,158.75599670410156,135.42868041992188,289.1028137207031,24.362646102905273
2022-04-07,168.5048370361328,157.7845001220703,134.77459716796875,290.90789794921875,24.16400909423828
2022-04-08,166.49818420410156,154.4604949951172,132.19491577148438,286.6606140136719,23.076982498168945
2022-04-11,162.2498016357422,151.1219940185547,127.76751708984375,275.357177734375,21.877172470092773
2022-04-12,164.11947631835938,150.78750610351562,126.66758728027344,272.268310546875,21.464920043945312
2022-04-13,166.8015594482422,155.54100036621094,128.8292236328125,277.63531494140625,22.16265106201172
2022-04-14,161.79949951171875,151.7064971923828,125.691162109375,270.1156311035156,21.219369888305664
2022-04-18,161.58416748046875,152.78500366210938,126.62991333007812,270.78173828125,21.743412017822266
2022-04-19,163.86495971679688,158.11549377441406,128.9432830810547,275.39581298828125,22.157655715942383
2022-04-20,163.69851684570312,153.9980010986328,126.99042510986328,276.4189758300781,21.442962646484375
2022-04-21,162.9056396484375,148.29600524902344,123.79137420654297,271.0616760253906,20.14632225036621
2022-04-22,158.37342834472656,144.35000610351562,118.6548080444336,264.5170593261719,19.479536056518555
2022-04-25,159.44039916992188,146.07400512695312,122.06513214111328,270.97479248046875,19.865829467773438
2022-04-26,153.48880004882812,139.39100646972656,117.67739868164062,260.8392639160156,18.753856658935547
2022-04-27,153.26368713378906,138.16700744628906,113.35760498046875,273.3880310058594,18.381534576416016
2022-04-28,160.1843719482422,144.59649658203125,117.55094146728516,279.57550048828125,19.746047973632812
2022-04-29,154.32083129882812,124.28150177001953,113.17411804199219,267.8858642578125,18.513294219970703
2022-05-02,154.6243438720703,124.5,115.62733459472656,274.5946044921875,19.49750518798828
2022-05-03,156.11216735839844,124.25350189208984,116.37218475341797,271.9979248046875,19.566377639770508
2022-05-04,162.51409912109375,125.92849731445312,121.25880432128906,279.91339111328125,20.297048568725586
2022-05-05,153.45944213867188,116.40699768066406,115.55047607421875,267.7218017578125,18.809755325317383
2022-05-06,154.1848907470703,114.77249908447266,114.79769897460938,265.1927185058594,18.64105987548828
2022-05-09,149.0675811767578,108.78900146484375,111.58871459960938,255.39508056640625,16.919200897216797
2022-05-10,151.4693603515625,108.85900115966797,113.457275390625,260.1442565917969,17.56302261352539
2022-05-11,143.61697387695312,105.37200164794922,112.67127990722656,251.50498962402344,16.599775314331055
2022-05-12,139.75457763671875,106.93049621582031,111.91899108886719,246.48550415039062,16.145605087280273
2022-05-13,144.2150115966797,113.05500030517578,115.09920501708984,252.05516052246094,17.67382049560547
2022-05-16,142.67587280273438,110.81050109863281,113.5068588256836,252.42196655273438,17.23262596130371
2022-05-17,146.30308532714844,115.36849975585938,115.51824188232422,257.55731201171875,18.14396858215332
2022-05-18,138.04881286621094,107.11250305175781,110.98222351074219,245.830810546875,16.907217025756836
2022-05-19,134.6470947265625,107.31900024414062,109.4791488647461,244.92135620117188,17.09288215637207
2022-05-20,134.88235473632812,107.59100341796875,108.0152587890625,244.36016845703125,16.663660049438477
2022-05-23,140.2937469482422,107.55699920654297,110.57411193847656,252.18753051757812,16.867290496826172
2022-05-24,137.59786987304688,104.0999984741211,105.10135650634766,251.19093322753906,16.124637603759766
2022-05-25,137.75473022460938,106.7750015258789,104.93769073486328,253.99684143066406,16.944150924682617
2022-05-26,140.95053100585938,111.07749938964844,106.90889739990234,257.26708984375,17.818559646606445
2022-05-27,146.69522094726562,115.14649963378906,111.39581298828125,264.36871337890625,18.776817321777344
2022-05-31,145.9109649658203,120.20950317382812,112.8294677734375,263.043212890625,18.63806915283203
2022-06-01,145.7835235595703,121.68399810791016,112.95838928222656,263.5754089355469,18.286706924438477
2022-06-02,148.2343292236328,125.51100158691406,116.6583251953125,265.6652526855469,19.556392669677734
2022-06-03,142.51907348632812,122.3499984741211,113.60208129882812,261.2532653808594,18.685977935791016
2022-06-06,143.26409912109375,124.79000091552734,115.86289978027344,260.0245666503906,18.751859664916992
2022-06-07,145.7835235595703,123.0,116.18920135498047,263.65277099609375,18.891605377197266
2022-06-08,145.04830932617188,121.18000030517578,116.23333740234375,261.63067626953125,18.618043899536133
2022-06-09,139.8330078125,116.1500015258789,113.89417266845703,256.1930847167969,18.019006729125977
2022-06-10,134.431396484375,109.6500015258789,110.25028228759766,244.77621459960938,16.946731567382812
2022-06-13,129.2847137451172,103.66999816894531,105.52037048339844,234.39456176757812,15.621864318847656
2022-06-14,130.14743041992188,102.30999755859375,105.84072875976562,236.55213928222656,15.810563087463379
2022-06-15,132.76486206054688,107.66999816894531,108.86473083496094,243.58616638183594,16.500452041625977
2022-06-16,127.50053405761719,103.66000366210938,105.16432189941406,237.01658630371094,15.57593822479248
2022-06-17,128.97105407714844,106.22000122070312,106.26522827148438,239.60958862304688,15.854490280151367
2022-06-21,133.19619750976562,108.68000030517578,110.62964630126953,245.5018768310547,16.53938865661621
2022-06-22,132.68643188476562,108.94999694824219,110.57361602783203,244.91168212890625,16.333724975585938
2022-06-23,135.5489959716797,112.44000244140625,111.3219223022461,250.45562744140625,16.198942184448242
2022-06-24,138.8722686767578,116.45999908447266,117.00792694091797,259.0086669921875,17.098487854003906
2022-06-27,138.8722686767578,113.22000122070312,114.88398742675781,256.2898254394531,16.84190559387207
2022-06-28,134.7353057861328,107.4000015258789,111.08934783935547,248.15289306640625,15.956329345703125
2022-06-29,136.49009704589844,108.91999816894531,110.78585052490234,251.81021118164062,15.517035484313965
2022-06-30,134.0294952392578,106.20999908447266,108.0698013305664,248.4915313720703,15.134648323059082
2022-07-01,136.1959991455078,109.55999755859375,107.84615325927734,251.15225219726562,14.499671936035156
2022-07-05,138.7742156982422,113.5,112.3345718383789,254.31614685058594,14.939964294433594
2022-07-06,140.1074981689453,114.33000183105469,113.6328353881836,257.5669860839844,15.105696678161621
2022-07-07,143.46998596191406,116.33000183105469,117.80929565429688,259.68585205078125,15.832527160644531
2022-07-08,144.14637756347656,115.54000091552734,118.37512969970703,258.969970703125,15.812560081481934
2022-07-11,142.01910400390625,111.75,114.728271484375,255.9222412109375,15.127662658691406
2022-07-12,142.98960876464844,109.22000122070312,113.0858383178711,245.4341278076172,15.05777359008789
2022-07-13,142.62692260742188,110.4000015258789,110.4406967163086,244.51495361328125,15.139640808105469
2022-07-14,145.54824829101562,110.62999725341797,109.4627914428711,245.830810546875,15.347305297851562
2022-07-15,147.2147979736328,113.55000305175781,110.86122131347656,248.3851318359375,15.736681938171387
2022-07-18,144.1758270263672,113.76000213623047,108.13624572753906,245.99530029296875,16.075136184692383
2022-07-19,148.0284423828125,118.20999908447266,112.8770751953125,251.10386657714844,16.964704513549805
2022-07-20,150.0282745361328,122.7699966430664,112.96633911132812,253.75489807128906,17.778396606445312
2022-07-21,152.2928466796875,124.62999725341797,113.40271759033203,256.24151611328125,18.021005630493164
2022-07-22,151.0576629638672,122.41999816894531,107.01551818847656,251.90695190429688,17.291183471679688
2022-07-25,149.94009399414062,121.13999938964844,106.62872314453125,250.42660522460938,16.996658325195312
2022-07-26,148.61666870117188,114.80999755859375,104.15911865234375,243.72158813476562,16.506444931030273
2022-07-27,153.70449829101562,120.97000122070312,112.13321685791016,260.01483154296875,17.76142692565918
2022-07-28,154.25347900390625,122.27999877929688,113.28370666503906,267.435791015625,17.955108642578125
2022-07-29,159.31198120117188,134.9499969482422,115.36650848388672,271.62518310546875,18.13382339477539
2022-08-01,158.33164978027344,135.38999938964844,113.91846466064453,268.98394775390625,18.411378860473633
2022-08-02,156.8611297607422,134.16000366210938,114.1862564086914,265.8974304199219,18.49624252319336
2022-08-03,162.86073303222656,139.52000427246094,117.11206817626953,273.2991027832031,18.862653732299805
2022-08-04,162.5469970703125,142.57000732421875,117.22117614746094,274.4407653808594,19.18413734436035
